occupation,race,sex,age,education,education-num,hours-per-week,class
Adm-clerical,White,Male,43,Some-college,10,40,<=50K
Machine-op-inspct,White,Male,19,11th,7,10,<=50K
Prof-specialty,White,Male,42,Bachelors,13,40,<=50K
Exec-managerial,White,Male,33,Some-college,10,45,<=50K
Other-service,Black,Female,47,HS-grad,9,40,<=50K
Exec-managerial,White,Male,51,HS-grad,9,40,>50K
Sales,White,Male,28,Some-college,10,40,<=50K
Adm-clerical,White,Female,61,Some-college,10,43,<=50K
Prof-specialty,White,Female,23,Bachelors,13,60,<=50K
Craft-repair,White,Male,31,9th,5,40,<=50K
Exec-managerial,White,Male,38,11th,7,55,<=50K
Handlers-cleaners,White,Male,21,9th,5,40,<=50K
Craft-repair,White,Male,22,HS-grad,9,50,<=50K
Prof-specialty,White,Male,35,Masters,14,40,>50K
Exec-managerial,White,Male,53,Bachelors,13,48,>50K
Exec-managerial,White,Female,40,HS-grad,9,24,>50K
Adm-clerical,White,Male,36,HS-grad,9,50,>50K
Transport-moving,White,Male,33,HS-grad,9,65,<=50K
Adm-clerical,White,Female,23,HS-grad,9,50,<=50K
Craft-repair,White,Male,51,HS-grad,9,40,>50K
Sales,White,Male,31,HS-grad,9,48,<=50K
Adm-clerical,White,Female,28,HS-grad,9,40,<=50K
Sales,White,Male,26,Bachelors,13,40,<=50K
Protective-serv,Black,Male,32,Bachelors,13,60,>50K
Prof-specialty,White,Male,43,Bachelors,13,45,>50K
Other-service,White,Female,19,HS-grad,9,50,<=50K
Handlers-cleaners,Black,Female,46,11th,7,40,<=50K
Prof-specialty,White,Male,49,Doctorate,16,45,>50K
Other-service,White,Female,31,10th,6,40,<=50K
Exec-managerial,White,Male,45,Bachelors,13,40,>50K
Farming-fishing,White,Male,41,5th-6th,3,40,<=50K
Other-service,White,Female,22,Some-college,10,15,<=50K
Prof-specialty,White,Female,25,Bachelors,13,40,<=50K
Prof-specialty,White,Male,46,Prof-school,15,50,>50K
Craft-repair,White,Male,44,Some-college,10,40,<=50K
Machine-op-inspct,White,Male,25,HS-grad,9,40,<=50K
Exec-managerial,White,Male,30,Bachelors,13,40,<=50K
Exec-managerial,White,Male,54,Bachelors,13,60,>50K
Craft-repair,White,Male,34,Bachelors,13,45,>50K
?,White,Male,34,HS-grad,9,40,<=50K
Prof-specialty,White,Male,30,Bachelors,13,55,>50K
Exec-managerial,White,Female,21,Assoc-voc,11,60,<=50K
Prof-specialty,White,Female,27,Bachelors,13,40,<=50K
Craft-repair,White,Male,29,Some-college,10,40,<=50K
Exec-managerial,White,Male,60,Some-college,10,40,>50K
Farming-fishing,White,Male,36,Masters,14,70,<=50K
Sales,White,Female,27,Masters,14,40,<=50K
Other-service,White,Male,57,Some-college,10,48,<=50K
Other-service,Asian-Pac-Islander,Female,24,1st-4th,2,5,<=50K
Craft-repair,White,Male,63,Some-college,10,22,<=50K
Protective-serv,White,Male,29,Bachelors,13,40,>50K
Exec-managerial,White,Male,34,Bachelors,13,40,<=50K
Other-service,White,Male,27,HS-grad,9,40,<=50K
Tech-support,White,Female,31,Assoc-voc,11,40,<=50K
Craft-repair,White,Male,31,Bachelors,13,40,<=50K
Adm-clerical,White,Female,55,Some-college,10,20,<=50K
Craft-repair,White,Male,64,HS-grad,9,99,<=50K
Sales,Black,Female,20,HS-grad,9,35,<=50K
Farming-fishing,White,Male,44,HS-grad,9,60,>50K
Transport-moving,White,Male,35,11th,7,50,<=50K
Exec-managerial,White,Female,41,Some-college,10,40,<=50K
Exec-managerial,Black,Female,38,Some-college,10,40,<=50K
Machine-op-inspct,White,Male,21,Some-college,10,40,<=50K
Craft-repair,White,Male,64,Bachelors,13,45,>50K
Handlers-cleaners,Black,Male,42,7th-8th,4,40,<=50K
Exec-managerial,White,Male,31,Some-college,10,50,>50K
Transport-moving,White,Male,42,Assoc-acdm,12,50,<=50K
Other-service,White,Female,35,Assoc-acdm,12,35,>50K
Exec-managerial,Black,Female,36,Some-college,10,40,>50K
Machine-op-inspct,White,Male,23,12th,8,30,<=50K
Adm-clerical,White,Male,20,Some-college,10,14,<=50K
Prof-specialty,Black,Female,26,Bachelors,13,40,<=50K
Transport-moving,Black,Male,56,Bachelors,13,65,<=50K
Other-service,White,Female,40,Assoc-acdm,12,40,<=50K
Handlers-cleaners,White,Male,19,11th,7,24,<=50K
Machine-op-inspct,Black,Female,33,HS-grad,9,40,<=50K
Adm-clerical,White,Male,45,Assoc-acdm,12,40,<=50K
Prof-specialty,White,Male,41,HS-grad,9,43,>50K
Other-service,White,Male,29,HS-grad,9,40,<=50K
Prof-specialty,White,Female,46,Masters,14,45,>50K
Transport-moving,White,Male,48,Assoc-acdm,12,45,<=50K
Sales,White,Male,38,HS-grad,9,45,<=50K
Adm-clerical,Black,Female,29,Some-college,10,40,<=50K
Craft-repair,White,Male,35,HS-grad,9,40,<=50K
Protective-serv,Black,Male,59,Bachelors,13,30,<=50K
Other-service,White,Male,27,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,43,Some-college,10,40,>50K
Exec-managerial,White,Male,70,Bachelors,13,20,<=50K
Machine-op-inspct,White,Male,30,HS-grad,9,45,<=50K
Transport-moving,White,Male,24,Some-college,10,40,>50K
Protective-serv,White,Male,76,HS-grad,9,15,<=50K
Craft-repair,White,Male,25,HS-grad,9,40,<=50K
Other-service,White,Female,39,Assoc-acdm,12,56,<=50K
Prof-specialty,Black,Female,36,Bachelors,13,40,<=50K
Machine-op-inspct,White,Female,23,12th,8,40,<=50K
Machine-op-inspct,White,Female,60,7th-8th,4,40,<=50K
?,Black,Male,20,Some-college,10,30,<=50K
Craft-repair,Black,Male,54,1st-4th,2,40,>50K
Sales,White,Female,20,Some-college,10,40,<=50K
Adm-clerical,White,Male,22,HS-grad,9,40,<=50K
Prof-specialty,White,Female,24,Bachelors,13,20,<=50K
Craft-repair,White,Male,41,HS-grad,9,40,<=50K
Craft-repair,White,Male,35,Some-college,10,40,<=50K
Handlers-cleaners,White,Male,23,5th-6th,3,55,<=50K
Exec-managerial,White,Male,54,Doctorate,16,50,>50K
Handlers-cleaners,White,Male,17,11th,7,16,<=50K
Adm-clerical,White,Female,43,HS-grad,9,40,<=50K
Craft-repair,White,Male,33,12th,8,42,<=50K
Prof-specialty,Asian-Pac-Islander,Female,30,Prof-school,15,40,<=50K
Adm-clerical,White,Male,38,Some-college,10,40,>50K
Other-service,Black,Male,54,HS-grad,9,45,<=50K
Machine-op-inspct,Black,Female,39,HS-grad,9,52,<=50K
Tech-support,Amer-Indian-Eskimo,Male,32,Some-college,10,40,<=50K
Adm-clerical,White,Male,61,7th-8th,4,40,<=50K
?,Black,Female,24,Assoc-voc,11,35,<=50K
Exec-managerial,White,Male,22,Bachelors,13,40,<=50K
Other-service,White,Male,34,HS-grad,9,40,>50K
Priv-house-serv,Black,Female,18,10th,6,20,<=50K
Craft-repair,White,Male,20,HS-grad,9,25,<=50K
Tech-support,White,Male,53,HS-grad,9,40,<=50K
Adm-clerical,White,Female,32,Some-college,10,40,<=50K
Other-service,White,Male,68,Some-college,10,30,<=50K
Other-service,White,Female,28,Some-college,10,15,<=50K
Transport-moving,White,Male,28,Some-college,10,40,<=50K
Prof-specialty,Black,Male,54,Some-college,10,56,>50K
?,White,Male,21,Some-college,10,48,<=50K
Exec-managerial,White,Female,52,Bachelors,13,40,<=50K
Craft-repair,White,Male,25,Some-college,10,40,<=50K
Prof-specialty,Asian-Pac-Islander,Male,30,Masters,14,50,>50K
Other-service,White,Male,33,Some-college,10,32,<=50K
Tech-support,Asian-Pac-Islander,Female,49,Bachelors,13,40,<=50K
Other-service,Other,Female,58,7th-8th,4,30,<=50K
Prof-specialty,White,Male,45,Assoc-voc,11,24,>50K
Transport-moving,Black,Male,67,7th-8th,4,40,<=50K
Prof-specialty,White,Male,42,Bachelors,13,50,<=50K
Other-service,White,Male,69,HS-grad,9,40,>50K
Exec-managerial,White,Female,61,HS-grad,9,40,<=50K
Craft-repair,White,Male,34,Some-college,10,40,<=50K
Craft-repair,White,Male,28,Some-college,10,45,<=50K
Machine-op-inspct,White,Female,19,HS-grad,9,34,<=50K
Craft-repair,White,Male,31,Some-college,10,40,<=50K
Exec-managerial,White,Male,32,Some-college,10,40,<=50K
?,White,Male,76,Prof-school,15,20,<=50K
Exec-managerial,White,Female,53,Assoc-acdm,12,60,<=50K
Adm-clerical,White,Female,46,HS-grad,9,37,<=50K
Farming-fishing,White,Male,43,7th-8th,4,40,<=50K
?,White,Male,48,HS-grad,9,40,>50K
Farming-fishing,White,Male,39,Some-college,10,99,>50K
Transport-moving,White,Male,59,7th-8th,4,40,<=50K
Sales,White,Female,19,Some-college,10,38,<=50K
Machine-op-inspct,White,Male,40,Some-college,10,40,>50K
Farming-fishing,White,Male,63,10th,6,50,<=50K
?,White,Female,44,Some-college,10,10,<=50K
Sales,White,Female,46,Some-college,10,40,<=50K
Machine-op-inspct,White,Male,22,10th,6,40,<=50K
Prof-specialty,White,Male,36,Assoc-acdm,12,45,<=50K
Craft-repair,White,Male,57,Some-college,10,40,>50K
Other-service,White,Male,58,HS-grad,9,25,<=50K
?,Asian-Pac-Islander,Male,25,Bachelors,13,28,<=50K
Transport-moving,White,Male,59,Some-college,10,35,>50K
Craft-repair,White,Male,36,HS-grad,9,45,<=50K
Exec-managerial,White,Male,29,Masters,14,45,<=50K
Prof-specialty,White,Male,49,Bachelors,13,45,<=50K
Sales,White,Male,42,Assoc-acdm,12,55,>50K
Transport-moving,White,Male,43,Some-college,10,17,<=50K
Exec-managerial,White,Male,46,HS-grad,9,40,<=50K
Exec-managerial,White,Female,43,Some-college,10,12,<=50K
Transport-moving,White,Female,40,Assoc-acdm,12,40,<=50K
Transport-moving,White,Male,43,12th,8,40,<=50K
Adm-clerical,White,Female,48,HS-grad,9,32,<=50K
Handlers-cleaners,Black,Male,26,HS-grad,9,28,<=50K
Adm-clerical,White,Female,30,Assoc-voc,11,35,<=50K
Sales,White,Male,58,Some-college,10,40,>50K
Farming-fishing,Black,Male,43,HS-grad,9,40,<=50K
Other-service,Black,Male,53,HS-grad,9,40,<=50K
Sales,White,Male,74,Some-college,10,16,<=50K
?,White,Female,64,Some-college,10,8,<=50K
Prof-specialty,White,Male,45,Bachelors,13,40,>50K
Machine-op-inspct,White,Female,32,5th-6th,3,10,<=50K
?,Black,Female,23,10th,6,40,<=50K
Sales,White,Female,38,Some-college,10,40,>50K
Sales,White,Male,42,Bachelors,13,40,>50K
Protective-serv,Other,Male,24,Some-college,10,40,<=50K
Sales,White,Male,63,HS-grad,9,35,<=50K
Adm-clerical,Black,Female,25,Some-college,10,35,<=50K
Craft-repair,Black,Male,37,Some-college,10,40,<=50K
Craft-repair,White,Male,28,HS-grad,9,40,<=50K
Other-service,White,Male,31,Some-college,10,40,<=50K
Prof-specialty,White,Male,46,Prof-school,15,50,>50K
Sales,White,Male,44,Bachelors,13,44,>50K
Prof-specialty,White,Female,42,Masters,14,40,>50K
Exec-managerial,White,Male,45,Doctorate,16,40,>50K
Sales,White,Male,52,Bachelors,13,60,<=50K
Exec-managerial,White,Male,40,Bachelors,13,40,>50K
Sales,White,Male,26,HS-grad,9,40,<=50K
Craft-repair,White,Male,55,Bachelors,13,40,<=50K
Other-service,White,Female,17,10th,6,14,<=50K
Other-service,White,Male,27,Some-college,10,40,<=50K
Exec-managerial,White,Male,71,Some-college,10,50,>50K
Prof-specialty,White,Male,35,Bachelors,13,50,<=50K
Other-service,White,Male,17,10th,6,16,<=50K
Transport-moving,White,Male,26,HS-grad,9,52,>50K
Machine-op-inspct,White,Female,22,Some-college,10,35,<=50K
Exec-managerial,White,Male,51,Bachelors,13,60,>50K
Craft-repair,White,Male,33,Some-college,10,40,<=50K
Exec-managerial,Black,Male,41,Assoc-acdm,12,50,>50K
Exec-managerial,White,Male,50,Masters,14,50,>50K
Adm-clerical,White,Female,26,HS-grad,9,40,<=50K
Handlers-cleaners,Black,Female,21,HS-grad,9,40,<=50K
Machine-op-inspct,White,Male,53,HS-grad,9,40,>50K
Exec-managerial,White,Male,32,HS-grad,9,40,>50K
Sales,White,Female,19,Some-college,10,20,<=50K
Adm-clerical,White,Female,22,Bachelors,13,35,<=50K
Exec-managerial,White,Male,58,HS-grad,9,60,>50K
Exec-managerial,White,Male,47,Bachelors,13,60,>50K
Exec-managerial,White,Male,51,Some-college,10,45,>50K
Exec-managerial,White,Male,42,Bachelors,13,48,>50K
Exec-managerial,White,Male,28,Bachelors,13,40,<=50K
Adm-clerical,Asian-Pac-Islander,Female,29,HS-grad,9,35,<=50K
Exec-managerial,White,Male,50,HS-grad,9,50,>50K
Other-service,White,Female,22,Some-college,10,30,<=50K
Other-service,White,Female,47,Some-college,10,45,<=50K
Sales,White,Female,60,Some-college,10,27,<=50K
Sales,White,Female,46,HS-grad,9,40,>50K
Prof-specialty,White,Male,58,Bachelors,13,60,>50K
Adm-clerical,White,Female,62,Some-college,10,40,<=50K
Prof-specialty,White,Male,47,Masters,14,40,>50K
Machine-op-inspct,White,Female,59,HS-grad,9,40,<=50K
Other-service,White,Female,41,HS-grad,9,40,<=50K
Adm-clerical,White,Female,31,HS-grad,9,37,<=50K
Adm-clerical,White,Female,18,HS-grad,9,40,<=50K
Craft-repair,White,Male,64,HS-grad,9,50,<=50K
Transport-moving,White,Male,51,HS-grad,9,65,<=50K
Sales,White,Male,47,Bachelors,13,35,<=50K
Sales,White,Male,68,Bachelors,13,35,>50K
Other-service,Other,Female,32,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,39,9th,5,43,<=50K
Exec-managerial,White,Female,37,Assoc-acdm,12,48,<=50K
Other-service,White,Female,29,HS-grad,9,40,<=50K
Farming-fishing,Other,Male,44,HS-grad,9,40,<=50K
Prof-specialty,White,Male,46,Prof-school,15,40,>50K
Craft-repair,White,Male,40,9th,5,40,>50K
?,Black,Male,19,HS-grad,9,35,<=50K
?,White,Male,65,HS-grad,9,30,<=50K
Adm-clerical,White,Female,52,Bachelors,13,40,>50K
Exec-managerial,White,Male,40,Bachelors,13,40,>50K
Other-service,White,Male,61,9th,5,40,<=50K
Exec-managerial,White,Male,30,HS-grad,9,50,<=50K
Other-service,White,Male,61,11th,7,40,<=50K
Transport-moving,White,Male,33,Assoc-voc,11,84,>50K
Prof-specialty,White,Male,32,Bachelors,13,65,>50K
Adm-clerical,White,Female,32,Assoc-acdm,12,40,<=50K
Prof-specialty,White,Male,32,Bachelors,13,35,>50K
Sales,White,Male,37,HS-grad,9,40,<=50K
Craft-repair,White,Male,53,11th,7,45,<=50K
Sales,White,Male,51,Masters,14,40,>50K
Sales,Black,Male,29,Assoc-voc,11,45,<=50K
Machine-op-inspct,White,Male,48,HS-grad,9,40,<=50K
Transport-moving,White,Male,69,HS-grad,9,40,>50K
Tech-support,White,Female,28,Masters,14,40,<=50K
Prof-specialty,White,Female,55,Bachelors,13,40,>50K
Craft-repair,White,Male,45,Assoc-voc,11,40,>50K
Other-service,White,Female,18,Some-college,10,20,<=50K
Craft-repair,White,Male,60,7th-8th,4,40,<=50K
Machine-op-inspct,White,Male,38,HS-grad,9,40,<=50K
Adm-clerical,White,Male,19,Some-college,10,10,<=50K
Craft-repair,White,Male,18,11th,7,25,<=50K
Other-service,White,Male,33,Some-college,10,40,<=50K
Tech-support,White,Female,33,Some-college,10,40,<=50K
Prof-specialty,White,Female,29,Masters,14,45,<=50K
Sales,White,Male,37,Some-college,10,45,<=50K
Transport-moving,White,Male,50,HS-grad,9,50,>50K
?,White,Male,19,Some-college,10,10,<=50K
Adm-clerical,White,Female,28,10th,6,35,<=50K
?,White,Female,43,Bachelors,13,7,>50K
Other-service,White,Female,23,Some-college,10,35,<=50K
Craft-repair,White,Male,47,7th-8th,4,40,<=50K
Tech-support,White,Male,21,Some-college,10,35,<=50K
Other-service,White,Female,19,Some-college,10,12,<=50K
Prof-specialty,White,Female,47,Bachelors,13,50,>50K
Prof-specialty,White,Male,36,Masters,14,40,>50K
Farming-fishing,White,Male,62,Bachelors,13,60,>50K
Tech-support,White,Male,65,HS-grad,9,40,>50K
Prof-specialty,White,Male,46,Prof-school,15,45,>50K
Craft-repair,White,Male,35,11th,7,40,<=50K
Machine-op-inspct,White,Male,50,9th,5,40,<=50K
Sales,White,Female,20,Some-college,10,6,<=50K
Adm-clerical,White,Female,17,11th,7,16,<=50K
Craft-repair,White,Male,33,Some-college,10,40,<=50K
?,White,Female,57,Some-college,10,40,<=50K
Prof-specialty,White,Male,53,Bachelors,13,50,<=50K
Sales,White,Male,47,Bachelors,13,40,>50K
Sales,White,Male,62,Masters,14,35,<=50K
Other-service,Black,Male,35,HS-grad,9,40,<=50K
Adm-clerical,White,Female,27,Bachelors,13,43,<=50K
Tech-support,White,Male,23,HS-grad,9,50,<=50K
Prof-specialty,White,Female,27,Masters,14,45,<=50K
Adm-clerical,White,Female,39,Assoc-voc,11,40,<=50K
Adm-clerical,Black,Female,25,Bachelors,13,38,<=50K
Exec-managerial,Black,Female,24,Some-college,10,20,<=50K
Other-service,White,Male,23,HS-grad,9,40,<=50K
Prof-specialty,White,Female,29,Bachelors,13,35,>50K
Prof-specialty,White,Female,30,Bachelors,13,38,<=50K
Craft-repair,White,Male,34,HS-grad,9,45,<=50K
Craft-repair,White,Female,32,10th,6,40,<=50K
Other-service,Black,Male,18,11th,7,23,<=50K
Sales,Black,Female,20,Assoc-voc,11,35,<=50K
Prof-specialty,White,Male,38,Bachelors,13,45,>50K
Other-service,White,Female,18,12th,8,20,<=50K
Craft-repair,White,Male,41,9th,5,40,<=50K
Other-service,White,Female,21,Assoc-voc,11,50,<=50K
Protective-serv,White,Male,36,HS-grad,9,48,>50K
Other-service,White,Female,61,Some-college,10,30,<=50K
Machine-op-inspct,White,Male,30,Some-college,10,48,<=50K
Adm-clerical,White,Male,26,Some-college,10,40,>50K
Tech-support,White,Female,27,Bachelors,13,40,>50K
Machine-op-inspct,White,Male,45,HS-grad,9,45,>50K
Adm-clerical,White,Female,47,HS-grad,9,38,<=50K
Adm-clerical,White,Female,19,Some-college,10,10,<=50K
Adm-clerical,White,Female,29,HS-grad,9,55,<=50K
Exec-managerial,White,Male,51,HS-grad,9,70,>50K
Prof-specialty,White,Male,34,Assoc-acdm,12,60,<=50K
Sales,White,Male,42,HS-grad,9,45,<=50K
Farming-fishing,Black,Male,26,5th-6th,3,40,<=50K
Handlers-cleaners,White,Male,20,Some-college,10,15,<=50K
Prof-specialty,White,Male,43,Assoc-acdm,12,50,>50K
Other-service,White,Female,20,Some-college,10,20,<=50K
Exec-managerial,White,Male,27,HS-grad,9,50,<=50K
Craft-repair,White,Male,46,Some-college,10,40,>50K
Transport-moving,White,Male,39,HS-grad,9,40,<=50K
Adm-clerical,White,Male,33,Some-college,10,49,<=50K
Adm-clerical,White,Male,42,Assoc-voc,11,32,<=50K
Adm-clerical,White,Male,23,HS-grad,9,25,<=50K
Exec-managerial,White,Female,29,Bachelors,13,42,>50K
Transport-moving,White,Male,27,HS-grad,9,60,<=50K
Craft-repair,White,Male,43,HS-grad,9,35,<=50K
Handlers-cleaners,White,Male,23,Some-college,10,40,<=50K
Prof-specialty,White,Female,40,Masters,14,44,<=50K
Protective-serv,White,Male,35,Some-college,10,61,>50K
Sales,White,Male,30,HS-grad,9,40,<=50K
Transport-moving,Amer-Indian-Eskimo,Male,59,11th,7,40,<=50K
Exec-managerial,White,Male,65,Some-college,10,40,<=50K
Prof-specialty,White,Male,28,Masters,14,60,<=50K
Sales,White,Male,79,Bachelors,13,40,<=50K
Prof-specialty,Black,Female,43,Masters,14,35,>50K
Machine-op-inspct,White,Male,54,7th-8th,4,40,<=50K
Handlers-cleaners,White,Male,27,HS-grad,9,62,<=50K
Prof-specialty,White,Male,30,Bachelors,13,35,>50K
?,Asian-Pac-Islander,Female,22,Bachelors,13,15,<=50K
Other-service,White,Female,34,HS-grad,9,65,<=50K
Prof-specialty,White,Male,18,11th,7,3,<=50K
Prof-specialty,White,Female,40,Assoc-voc,11,15,>50K
Sales,White,Male,28,9th,5,40,<=50K
Adm-clerical,White,Female,18,HS-grad,9,40,<=50K
Craft-repair,White,Male,46,Some-college,10,40,<=50K
Adm-clerical,White,Female,23,HS-grad,9,35,<=50K
?,White,Male,77,Some-college,10,6,<=50K
Exec-managerial,White,Male,41,Masters,14,40,>50K
Exec-managerial,White,Male,48,Some-college,10,50,>50K
Prof-specialty,White,Male,29,Bachelors,13,50,<=50K
Handlers-cleaners,White,Female,41,11th,7,40,<=50K
Other-service,White,Male,41,9th,5,40,<=50K
Prof-specialty,White,Male,34,Assoc-acdm,12,55,<=50K
Sales,White,Male,49,Assoc-acdm,12,50,<=50K
Sales,White,Male,49,HS-grad,9,50,<=50K
Handlers-cleaners,White,Male,30,HS-grad,9,40,<=50K
Sales,White,Male,28,Bachelors,13,40,<=50K
Exec-managerial,White,Male,62,Bachelors,13,40,<=50K
Prof-specialty,White,Male,41,Some-college,10,52,<=50K
Craft-repair,White,Male,20,Some-college,10,40,<=50K
Other-service,Asian-Pac-Islander,Male,61,Preschool,1,40,<=50K
Tech-support,White,Male,30,Bachelors,13,60,<=50K
Prof-specialty,White,Female,29,Prof-school,15,55,<=50K
Sales,White,Female,50,Masters,14,45,<=50K
Craft-repair,White,Male,44,HS-grad,9,40,>50K
Prof-specialty,White,Male,25,Bachelors,13,45,>50K
Sales,White,Female,62,Assoc-voc,11,40,<=50K
Machine-op-inspct,White,Female,57,Some-college,10,40,<=50K
Exec-managerial,White,Male,35,Bachelors,13,45,<=50K
Sales,White,Female,26,Bachelors,13,40,<=50K
Machine-op-inspct,White,Female,60,7th-8th,4,40,<=50K
Craft-repair,White,Male,22,Some-college,10,40,<=50K
Prof-specialty,White,Female,62,Masters,14,50,<=50K
Craft-repair,White,Male,26,HS-grad,9,40,<=50K
Adm-clerical,White,Male,26,Some-college,10,20,<=50K
Sales,White,Male,44,Bachelors,13,40,>50K
Exec-managerial,White,Male,32,Bachelors,13,40,<=50K
Sales,White,Male,66,Bachelors,13,50,<=50K
Machine-op-inspct,White,Female,24,Preschool,1,30,<=50K
Other-service,White,Male,19,Some-college,10,25,<=50K
Exec-managerial,White,Male,54,Bachelors,13,50,>50K
Machine-op-inspct,White,Male,37,HS-grad,9,40,<=50K
Exec-managerial,White,Male,38,Bachelors,13,50,>50K
Transport-moving,White,Male,37,Bachelors,13,50,<=50K
?,White,Male,22,Some-college,10,35,<=50K
Sales,White,Male,34,Some-college,10,25,<=50K
Craft-repair,Amer-Indian-Eskimo,Male,35,HS-grad,9,15,<=50K
Prof-specialty,White,Male,42,Masters,14,40,<=50K
Exec-managerial,White,Female,47,Bachelors,13,40,>50K
Prof-specialty,White,Female,29,Bachelors,13,80,<=50K
Tech-support,White,Male,34,HS-grad,9,40,<=50K
Prof-specialty,White,Male,38,Bachelors,13,70,>50K
Exec-managerial,Black,Male,62,HS-grad,9,40,<=50K
Craft-repair,White,Male,35,HS-grad,9,40,<=50K
Adm-clerical,White,Female,37,HS-grad,9,40,<=50K
Farming-fishing,White,Male,47,HS-grad,9,40,<=50K
Craft-repair,White,Male,37,Some-college,10,40,<=50K
Priv-house-serv,White,Female,22,Assoc-voc,11,30,<=50K
Transport-moving,White,Male,60,11th,7,40,>50K
Craft-repair,White,Male,31,Some-college,10,40,<=50K
?,Amer-Indian-Eskimo,Male,74,10th,6,30,<=50K
Craft-repair,White,Male,63,HS-grad,9,40,<=50K
Machine-op-inspct,White,Male,30,11th,7,40,<=50K
?,Black,Male,44,HS-grad,9,30,<=50K
Prof-specialty,White,Male,40,Prof-school,15,40,>50K
Other-service,White,Male,35,Some-college,10,60,<=50K
Craft-repair,White,Male,50,Some-college,10,40,<=50K
Sales,White,Female,18,Some-college,10,10,<=50K
Protective-serv,White,Male,33,Assoc-voc,11,40,<=50K
Farming-fishing,White,Male,59,7th-8th,4,70,<=50K
Other-service,White,Male,17,11th,7,20,<=50K
Transport-moving,Amer-Indian-Eskimo,Male,47,HS-grad,9,40,>50K
?,Black,Male,51,Some-college,10,50,<=50K
Prof-specialty,White,Male,26,Bachelors,13,40,<=50K
Protective-serv,White,Female,32,Some-college,10,40,>50K
Craft-repair,White,Male,55,HS-grad,9,40,<=50K
Tech-support,Black,Female,36,Some-college,10,40,<=50K
Adm-clerical,White,Male,54,HS-grad,9,40,>50K
?,White,Female,19,HS-grad,9,30,<=50K
Exec-managerial,White,Female,32,Masters,14,45,>50K
Exec-managerial,White,Male,52,Doctorate,16,40,>50K
Sales,Black,Female,39,HS-grad,9,28,<=50K
Exec-managerial,White,Female,39,HS-grad,9,45,<=50K
Exec-managerial,White,Male,59,HS-grad,9,50,>50K
Prof-specialty,White,Male,55,Bachelors,13,40,<=50K
Transport-moving,White,Male,54,HS-grad,9,60,>50K
Other-service,White,Male,31,HS-grad,9,40,<=50K
?,Black,Male,19,11th,7,25,<=50K
Adm-clerical,Amer-Indian-Eskimo,Female,30,HS-grad,9,40,<=50K
Exec-managerial,White,Female,47,Bachelors,13,40,<=50K
Exec-managerial,White,Male,31,Assoc-acdm,12,40,<=50K
Craft-repair,Asian-Pac-Islander,Male,32,Bachelors,13,47,<=50K
Machine-op-inspct,Black,Female,33,Assoc-voc,11,40,<=50K
Craft-repair,White,Male,31,HS-grad,9,40,<=50K
Machine-op-inspct,White,Male,32,HS-grad,9,40,<=50K
Other-service,White,Male,46,HS-grad,9,35,<=50K
Other-service,White,Female,29,HS-grad,9,20,<=50K
Transport-moving,Black,Male,41,HS-grad,9,40,<=50K
Exec-managerial,White,Male,39,HS-grad,9,60,>50K
Adm-clerical,White,Female,34,HS-grad,9,20,>50K
Adm-clerical,Black,Male,23,Bachelors,13,24,<=50K
Sales,White,Male,53,Masters,14,65,>50K
Craft-repair,Asian-Pac-Islander,Male,45,HS-grad,9,40,<=50K
?,White,Female,34,Bachelors,13,10,>50K
Sales,White,Female,47,HS-grad,9,40,<=50K
?,White,Male,24,7th-8th,4,60,<=50K
Tech-support,Black,Female,42,Masters,14,35,>50K
Machine-op-inspct,White,Male,53,Some-college,10,40,<=50K
Sales,White,Male,38,HS-grad,9,55,<=50K
Transport-moving,White,Male,26,HS-grad,9,70,<=50K
Handlers-cleaners,White,Male,18,11th,7,20,<=50K
Other-service,Black,Female,43,10th,6,40,<=50K
Adm-clerical,Black,Female,26,Bachelors,13,32,<=50K
Adm-clerical,White,Female,47,Bachelors,13,40,<=50K
Craft-repair,White,Male,26,Assoc-voc,11,65,>50K
?,Black,Female,21,Some-college,10,20,<=50K
Protective-serv,White,Female,32,Some-college,10,38,<=50K
Prof-specialty,White,Male,48,Doctorate,16,55,>50K
Exec-managerial,Black,Female,39,Masters,14,60,>50K
Prof-specialty,White,Male,58,Bachelors,13,40,<=50K
Other-service,White,Female,55,7th-8th,4,60,<=50K
Farming-fishing,White,Male,40,HS-grad,9,55,<=50K
Craft-repair,White,Male,33,HS-grad,9,40,<=50K
Prof-specialty,White,Male,74,Doctorate,16,25,>50K
Farming-fishing,White,Male,49,HS-grad,9,55,<=50K
Other-service,White,Female,56,11th,7,65,>50K
Prof-specialty,White,Female,29,Bachelors,13,40,>50K
Machine-op-inspct,Black,Male,25,Assoc-acdm,12,48,<=50K
Adm-clerical,Black,Male,57,12th,8,40,<=50K
Prof-specialty,White,Male,29,HS-grad,9,40,<=50K
Craft-repair,White,Male,28,HS-grad,9,40,<=50K
Craft-repair,White,Male,59,HS-grad,9,40,>50K
Exec-managerial,White,Male,30,Bachelors,13,60,>50K
?,Black,Female,28,HS-grad,9,40,<=50K
Other-service,White,Female,19,Some-college,10,20,<=50K
Sales,Black,Female,40,Some-college,10,45,<=50K
Adm-clerical,Black,Female,28,Some-college,10,40,<=50K
?,White,Male,48,Bachelors,13,55,>50K
