MeanAtomicMass,MeanAtomicValN,MeanAtomicMagnMom,MeanAtomicElNeg,MaxDiffAtomicMass,MaxDiffAtomicElNeg,T_c(K)
89.97,2.91,1.49,1.73,134.36,2.55,39
79.81,5.62,2.82,1.79,83.06,1.29,22.4
101.03,5.05,2,1.8,164.13,0.97,1.89
87.13,2.7,1.1,1.71,192.98,2.49,99
68.12,6.64,3.73,2.13,149.35,2.27,10.5
59.33,5.26,2.37,2.56,128.24,2.32,6.5
111.58,7,2,2.09,167,0.38,0.88
188.57,7.48,4,2.24,6.39,0.16,4.4
59.93,4.45,1.65,2.55,192.98,2.49,87
76,1.86,1.43,1.93,58.21,0.15,0.05
91.47,4.1,2.21,1.37,4.73,0.83,4
53.72,4.29,1.52,2.5,188.38,2.49,81
63.05,5.89,2.6,1.97,39.87,1.73,32.2
51.28,4.02,1.36,2.52,121.33,2.55,8
125.23,3.67,1.07,1.68,80.27,1.16,0.32
81.95,2.57,1.14,1.75,128.24,2.55,30
71.76,5.76,2.49,2.15,124.12,2.86,11.9
72.17,5.83,1.83,1.67,211.05,0.53,1.15
48.61,5.14,1.71,2.55,85.07,2.49,1.13
53.02,4.07,1.45,2.52,124.91,2.55,29.2
61.75,5.94,3.07,2.57,141.25,2.32,16.8
96.5,5.99,4.51,1.77,97.32,0.68,2.39
102.25,3.2,1.45,1.78,192.98,2.49,68.6
50.33,4.12,1.44,2.56,124.91,2.55,66.5
47.94,4.4,1.49,2.54,150.49,2.55,78
177.62,4,2,1.3,87.27,0.03,0.37
166.47,4.98,1.99,2.21,184.21,1.4,1.38
160.19,7.14,2.38,1.9,103.31,0.98,1.98
51.51,5.25,2.18,2.5,135.97,3.44,33
62.37,5.2,4.4,2.32,83.94,0.39,11.2
110.44,4,1.28,1.7,81.18,0.76,2.15
50.65,4.09,1.48,2.52,124.91,2.55,30.3
57.73,4.27,1.4,2.52,188.38,2.49,37.5
49.47,3.97,1.38,2.51,121.33,2.55,86
97.02,2.98,1.23,1.78,192.98,2.49,65
75.2,3.88,1.13,2.43,184.59,2.55,72
54.32,4,1.38,2.51,122.91,2.55,81
89.1,4.67,2.67,1.53,130.62,0.33,9.19
57.72,4.42,1.57,2.55,128.24,2.55,31.1
57.73,5.01,1.3,2.43,157.06,3.44,70.6
39.17,2.33,1,1.71,36.56,0.29,1.02
51.22,4,1.39,2.52,124.91,2.55,85.9
118.68,4,2,1.96,6.94,0.27,3.74
123.06,4.98,1.97,2.02,12.78,0.32,1.36
108.08,7.2,4.8,1.88,140.22,0.54,0.4
97.79,3.02,1.27,1.79,192.98,2.49,76.1
47.35,3.8,1.8,1.47,5.99,0.27,6.84
51.31,4.02,1.38,2.52,121.33,2.55,66.3
54.86,4.85,2.04,2.55,141.25,2.55,72
42.23,3.75,1.25,2.44,71.62,2.49,110
118.48,3.59,1.59,1.91,192.98,2.49,26.9
57.88,5.16,2.29,2.56,128.24,2.32,16
64.25,6.2,1.94,2.06,156.45,1.06,9.64
120.12,4.28,2.06,1.84,37.84,1.1,1.58
57.5,4.84,1.46,2.52,151.26,2.55,81
79.41,7.1,3.1,2.03,71.75,0.72,13.8
51.23,4.02,1.4,2.53,122.91,2.55,80.5
66.61,5,4.33,2.08,78.9,1.44,8.6
51.02,3.98,1.37,2.52,121.33,2.55,83
75.98,4.47,3.98,1.6,83.89,0.04,19.8
51.37,4,1.39,2.52,122.91,2.55,93.2
52.74,4.08,1.31,2.5,121.33,2.55,72
47.91,3.97,1.38,2.51,121.33,2.55,83.5
23.58,4.7,1.85,2.54,40.93,2.46,12.1
59.19,5.42,2.98,1.79,114.34,1.29,18.4
108.25,4.5,1.5,1.66,38.69,0.88,2.05
52.22,7,1.8,1.94,154.12,1.45,2.25
58.7,4.08,1.32,2.48,188.38,2.55,86.1
32.66,5.5,1.5,1.97,47.88,1.19,16.5
55.32,5.07,1.67,2.55,148.93,2.55,76
109.78,4.85,2.05,1.81,79.97,0.86,2.85
56.25,4.5,1.7,2.56,192.98,2.44,30
115,7,4,2.27,183.07,0.39,1.1
76.46,4,2,2.07,124.9,1.94,1.35
52.53,7.12,1.82,1.95,154.12,1.45,7.44
63.39,4.77,1.7,2.56,192.98,2.49,40.7
84.67,6.85,2.9,2.03,71.75,0.9,13.5
101.28,3,1.25,1.81,192.98,2.49,81
60.63,4.86,2,2.56,216.04,2.34,16
61.55,5.89,3.01,2.57,141.25,2.32,19.2
51.54,4,1.4,2.52,122.91,2.55,61.4
59.09,5.6,2.8,1.8,43.95,1.19,20
58.4,4.43,1.61,2.57,192.98,2.49,89.1
52.62,4.06,1.44,2.52,124.91,2.55,44.5
48.33,4.02,1.39,2.52,124.12,2.55,60.5
53.62,4.84,1.46,2.52,151.26,2.55,78
54.96,4.22,1.61,2.51,128.24,2.55,82
51.56,4.05,1.39,2.51,121.33,2.55,55
88.06,2.68,1.08,1.72,192.98,2.49,111
49.79,4.85,1.46,2.53,151.26,2.55,66
42.61,7.21,1.6,1.92,46.68,1.24,7.3
114.38,6.94,2.31,2.44,113.25,0.35,6.45
92.2,5.01,4.97,1.62,76.91,1.84,8.1
55.79,4.42,1.61,2.57,192.98,2.49,76.5
55.31,5.28,1.92,1.78,128.1,0.94,4
13.53,3.86,1.95,2.47,73.46,1.73,3.4
88.79,6,0.8,1.87,78.34,1.25,2.72
44.82,4.43,1,2.66,121.33,3.09,54
87.67,7.09,2.36,2.45,23.93,0.27,6
110.95,4.69,2.28,1.91,29.8,0.98,1.3
42.93,7.24,1.59,1.9,47.88,1.24,6.97
90.74,3.14,0.86,1.73,152.94,2.55,84
152.35,6,2.4,1.94,159.41,0.9,1.51
114.36,3.83,2.06,1.68,191.2,2.49,23.6
53.77,3.93,1.27,2.47,191.2,2.55,103
47.41,4.7,2.7,1.69,41.64,0.27,10.7
97.53,3.01,1.26,1.77,192.98,2.49,70.78
51.82,3.98,1.37,2.51,121.33,3.09,71
51.31,4.04,1.42,2.53,122.91,2.55,0.3
53.37,4.12,1.43,2.57,191.2,2.55,74
157.51,5.09,2.18,1.98,81.38,1.54,2.7
81.47,6.3,4.3,1.81,46.97,0.27,4.49
51.18,4.12,1.4,2.52,121.33,2.55,72.2
50.1,3.83,1.23,2.41,184.59,2.55,126.8
57.51,5,2.1,2.58,124.91,2.32,18.85
47.47,4.13,1.44,2.52,122.91,2.55,22
65.9,5.83,3.67,2.35,86.65,0.62,13.4
121.62,6.8,3.55,1.88,88.04,0.78,3.96
74.71,2.29,0.86,1.73,122.91,2.55,80.1
17.2,4.2,1.69,2.57,57.93,2.51,4.61
87.22,3.22,1.21,1.88,122.91,2.49,15.9
53.81,4.27,1.73,2.54,134.36,2.55,69.3
154.36,8.83,3.17,2.23,89.31,0.08,0.1
77.68,2.6,0.92,1.79,122.91,2.55,23.6
55.9,4.39,1.83,2.51,141.25,2.55,75.1
57.59,4.5,2.59,1.67,41.96,0.21,13.5
72.93,3.96,1.16,2.47,184.59,2.55,59
74.34,2.32,0.82,1.76,222.03,2.55,114
57.06,4.45,1.59,2.55,128.24,2.55,18
90.09,2.09,0.89,1.58,128.24,2.55,76
53.66,4.05,1.42,2.53,122.91,2.55,22
69.26,4.28,1.39,2.51,188.38,2.55,35
50.52,4,1.36,2.51,121.33,2.55,27.6
84.08,2.33,0.9,1.73,122.91,2.55,61
51.37,3.99,1.38,2.52,121.33,2.55,91.8
49.12,4.12,1.35,2.53,191.2,2.49,70.5
79.32,2.46,0.89,1.77,191.2,2.55,31.5
76.37,4.46,3.89,1.59,65.92,0.28,13.6
82.38,4.29,2.29,1.79,141.25,2.49,45.1
46.34,4.75,2.75,1.7,44.54,0.38,14.4
56.28,4.37,1.77,2.51,134.36,2.55,87
36.02,4.14,1.57,1.81,95.97,1.3,2.5
53.86,5.84,1.61,1.95,164.16,1.33,11.77
58.72,4.81,1.94,2.55,128.24,2.34,16
34.56,3,1,1.52,42.74,0.9,5.6
89.9,7,3,1.98,71.75,0.72,11.5
92.86,4.7,2.14,1.46,11.68,0.95,11.1
59.63,4.41,1.61,2.55,192.98,2.49,77.1
55.52,3.83,1.2,2.43,188.38,2.55,128
48.19,4.28,1.66,2.53,141.25,2.55,79
37.01,3.67,1.78,1.76,114.34,1.01,3.5
52.87,4.23,1.7,2.48,135.97,3.44,75
98.36,3.09,1.34,1.77,192.98,2.49,87
40.7,4.66,1.85,2.27,84.28,2.18,15
52.82,4.25,1.75,2.08,171.55,2.06,16
184.31,6.28,4.28,1.76,5.26,0.4,1.46
72.83,6.28,3.22,2.16,128.24,2.84,38
139.09,5.73,3.26,2.03,68.47,1.07,1.01
71.67,5.53,2.47,2.15,122.91,2.88,27.5
67.5,7.1,2.9,2.23,24.06,1.13,5
72.06,5.41,2.48,1.82,155.01,1.28,19.5
50.37,4.25,1.43,2.51,121.33,2.55,51
187.94,7.43,4.57,2.03,4.02,0.3,1.18
58,4.42,1.61,2.56,192.98,2.49,73.7
57.95,4.45,1.59,2.55,128.24,2.55,12
107.61,2.78,0.95,2.04,127.24,0.73,1.79
63.2,2.97,0.97,1.55,59.54,0.95,5.04
25.37,2.28,0.28,1.56,229.02,0.27,0.65
88.97,6,0.8,1.87,78.34,1.25,2.76
45.23,4.75,2.75,1.7,22.86,0.27,17.1
75.34,3.9,1.13,2.43,184.59,2.55,94
36.22,3.77,1.34,2.54,71.62,2.49,5
74.89,3.6,2,1.88,41.01,0.61,4
57.29,4.41,1.56,2.55,122.91,2.49,29.5
49.13,5.12,2.15,2.61,141.25,2.49,11.65
6.94,1,1,0.98,0,0,20
15.42,2.69,0.68,1.8,48.12,0.73,35.5
60.47,4.43,1.62,2.56,192.98,2.49,41.8
91.69,4.2,2.04,1.37,11.68,0.95,5
49.22,5.14,2.14,2.62,141.25,2.49,36.9
81.29,2.57,0.93,1.73,121.33,2.55,59.7
16.88,4.38,1.73,2.66,57.93,2.51,5
46.81,4.03,1.37,2.52,121.33,2.55,64
83.89,2.67,1.24,1.73,128.24,2.55,27
91.1,3.25,1.82,1.73,141.25,2.55,79
69.33,5.88,2.83,2.14,124.91,2.49,6.86
49.62,4.22,1.48,2.52,192.98,2.49,110
89.56,5.81,3.54,2.3,59.93,1.45,11
42.15,4.05,1.34,2.56,197.44,2.55,105
105.46,5.47,2.05,2.02,122.45,1.16,5.52
47.81,4.25,1.75,2.12,171.55,2.18,21
54.19,3.84,1.33,2.44,121.33,2.55,74
47.31,4.7,2.7,1.69,41.64,0.27,12.33
64.3,4.75,3.5,2.25,166.48,1.25,6.6
72.73,5.83,1.83,1.67,211.05,0.53,1.13
70.59,2.29,0.57,1.76,184.59,3.09,109
172.67,5.67,1,2.05,100.78,0.71,1.78
74.36,6.77,3.73,2.17,134.36,2.81,31.3
43.88,4.02,1.39,2.5,72.91,2.49,26
107.22,7.08,0.72,1.86,84.15,2.2,4.37
88.89,4.72,2.83,1.54,127.55,0.33,10.67
52.36,3.94,1.37,2.49,121.33,2.55,59.4
58.03,4.44,1.61,2.58,192.98,2.49,42.1
51.57,4.8,2.9,1.64,12.6,0.27,3.85
52.54,7.12,1.88,1.95,154.12,1.33,5.86
74.96,4.91,3.58,1.88,105.41,0.6,4.92
98.48,3.43,1.14,1.63,192.98,2.49,109
69.82,4.59,1.67,2.63,192.98,2.49,19.8
118.59,3.97,1.97,1.95,3.89,0.18,3.63
72.18,5.65,2.75,1.82,47.06,1.33,21.9
69.82,4.67,1.76,2.59,192.98,2.49,18.5
71.5,5.53,2.47,2.15,122.91,2.88,22.8
15.26,2.67,0.67,1.8,13.49,0.73,6.1
72.46,5.77,1.82,1.67,211.05,0.53,0.16
59.85,4.44,1.63,2.57,192.98,2.49,83
79.86,5.56,2.77,1.78,81.48,1.29,8.7
51.74,4.07,1.4,2.51,121.33,2.55,54
45.91,4.78,2.78,1.69,22.86,0.27,14.38
25.37,2.29,0.29,1.56,229.02,0.66,1.89
57.88,4.41,1.56,2.55,122.91,2.55,14.5
61.6,3.85,1.18,2.43,188.38,2.55,124
49.6,4.65,2.04,2.54,141.25,2.49,25.7
53.76,4.65,1.3,2.44,157.06,3.44,44.6
59.23,4.4,1.6,2.55,192.98,2.49,79
118.74,4.01,2.01,1.96,3.05,0.09,3.64
78.87,2.95,0.95,1.85,121.33,2.55,94
40.96,3.75,1.76,1.78,114.34,1.01,4
50.83,4.99,2.99,1.63,22.86,0.27,4.75
89,7.06,3.06,1.96,71.75,0.72,6.5
56.92,4.7,1.61,2.52,146.5,2.55,68.8
86.6,6,3.71,2.38,48.63,0.45,6.3
54.1,4.03,1.45,2.5,124.91,2.55,4
133.09,3.08,1.08,1.27,42.43,0.68,4.3
47.44,4.44,2.44,1.6,23.96,0.09,2.7
61.19,5,1.76,2,128.1,1.94,12.5
61.21,4.84,2,2.64,192.98,2.62,5.74
89.75,5.25,2.5,2.1,58.36,1.66,2.5
51.22,4.05,1.39,2.5,121.33,2.55,57.5
46.97,3.88,1.5,1.55,58.92,2.44,36.35
96.93,6.5,5.5,2.03,1.96,0.26,14
65.65,4.12,1.33,2.48,188.38,2.55,110
35.94,4.03,1.31,2.5,71.62,2.49,63
53.11,4.83,3.83,2.23,80.9,1.44,17.8
71.83,4.7,1.79,2.6,192.98,2.49,17
95.46,3.92,1.92,2.05,220.03,1.28,10.9
61.26,4.5,3.3,2.06,168.94,1.05,10
53.38,4.22,1.61,2.51,128.24,2.55,75
70.45,3.5,1.5,1.68,61.92,0.79,4.5
87.09,5.94,2.62,2.39,192.98,2.84,4.9
51.01,4.49,1.54,2.57,124.12,2.49,25.8
56.22,4.4,1.54,2.55,122.91,2.49,18
73.97,6.28,3.22,2.17,128.24,2.84,40
137.91,3.25,1.25,1.92,92.38,0.55,5.65
42.72,4,1.33,2.54,121.33,2.55,106
57.33,4.58,1.73,2.55,128.24,2.49,11
86.56,5.7,2.2,2.4,192.98,2.86,3.48
46.16,4.08,1.38,2.53,126.52,2.55,51
57.98,4.83,1.45,2.51,151.26,2.55,78.2
84.07,5.32,2,1.46,32.53,0.58,3.47
119.3,3.64,1.64,1.9,192.98,2.49,3
53.25,4.69,1.61,2.52,146.5,2.55,83
77.48,5.4,2.07,2.21,133.08,1.05,2.29
55.13,4.37,1.75,2.45,135.97,3.44,93.8
141.05,6.76,2.28,2.17,128.67,0.65,2.71
66.12,4.71,1.86,2.28,171.55,2.18,26
120.51,4.3,1.5,1.96,19.73,0.32,0.77
73.97,5.52,2.48,2.14,176.22,2.34,11.85
59.6,5.03,2.14,2.43,191.2,3.44,40
104.58,6.75,0.75,1.83,151.51,0.9,3.8
51.17,4.13,1.42,2.52,121.33,2.55,41.1
53.68,3.83,1.33,2.45,121.33,2.55,19.8
133.08,3.05,1.05,1.28,24.09,0.86,7.8
51.15,4.02,1.39,2.52,121.33,2.55,88
96.77,4.6,2.6,2.11,171.83,1.05,9.92
74.4,6.79,3.71,2.16,134.36,2.27,11.75
65.24,5.53,2.48,2.17,122.91,2.88,31.4
69.69,4.93,2.39,1.99,137.9,2.34,36.2
96.23,4.11,2.11,1.39,92.62,1.03,3.88
86.38,6.14,3.57,2.44,16.98,0.8,6.7
133.62,6.64,4.18,1.85,99.31,0.6,9.8
87.32,2.7,1.1,1.7,192.98,2.49,97
99.57,3.07,1.29,1.79,192.98,2.49,80
66.67,7.06,3.06,2.17,23.13,0.72,9.84
34.2,4.79,1.74,2.32,58.92,2.44,15
101.2,6.42,3,1.83,141.28,0.57,1.71
74.2,2.28,0.72,1.67,191.2,2.49,119
77.35,6.79,3.84,2.09,134.36,2.27,40.1
83.21,7,3,2.04,71.75,0.72,15
59.28,4.42,1.61,2.57,192.98,2.49,84.11
55.12,4.42,1.54,2.54,122.91,2.49,29.9
57.38,4.89,1.48,2.52,151.26,2.55,65
101.76,4.79,1.95,1.8,164.13,0.93,5.8
199.11,2.03,0.02,2.01,184.59,1.44,126
55.92,4.2,1.6,2.5,128.24,2.55,41.3
93.79,5,4.98,1.6,88.04,0.1,9.08
71.52,5.52,2.88,1.78,98.23,1.36,37.4
51.27,4.05,1.39,2.52,121.33,2.55,66.6
49.02,3.95,1.29,2.47,188.38,2.55,122.1
63.49,5.77,2.51,1.98,39.87,1.73,32.4
67.12,4.08,1.28,2.56,191.2,2.55,70
89.37,6.97,2.97,2,71.75,0.72,8.8
53.6,4.88,3.88,2.29,83.94,0.95,13.1
79.18,7,4.2,1.6,120.99,2.19,29
98.66,7.3,3.85,1.99,10,0.68,3
52.29,4.21,1.43,2.53,151.26,2.55,70
87.93,2.66,1.06,1.72,192.98,2.49,98.5
98.66,3.21,1.5,1.9,192.98,2.44,39.6
145.04,7.1,3.95,1.92,99.31,0.6,4.75
64.84,5.85,3.63,2.36,86.65,0.62,10.7
109.71,6.96,2.32,2.44,113.25,0.35,8.09
54.18,3.83,1.33,2.44,121.33,2.55,89
63.66,4.31,2.99,1.88,105.41,0.6,3.4
51.04,5.32,2.22,2.63,141.25,2.49,45
54.46,5.57,1.57,1.95,164.16,1.28,3.8
60.04,4.42,1.61,2.55,192.98,2.49,49.1
51.15,4,1.38,2.51,121.33,2.55,92
59.34,5.25,2.37,2.56,128.24,2.32,22.1
39.8,5.35,1.65,1.93,78.1,1.33,5.7
63.16,4.38,3.12,2.04,166.48,1.25,7
51.76,3.98,1.38,2.51,122.91,2.55,76
103.57,4.38,1.44,1.7,184.59,2.49,71
41.09,3.84,1.32,2.51,71.62,2.49,26.5
105.45,5.46,2.05,2.02,122.45,1.16,4.11
81.21,2.34,0.91,1.74,128.24,2.55,87.2
97.57,4.75,4.25,1.69,43.79,0.58,17.99
56.79,4.42,1.56,2.55,122.91,2.49,5.2
73.97,3.89,1.14,2.43,184.59,2.55,91.6
54.89,5,4.04,2.29,78.9,1.44,13.3
45.24,4.86,2.2,2.56,125.97,2.65,5.01
57.45,4.43,1.54,2.55,122.91,2.49,21
56.96,4.41,1.55,2.55,122.91,2.49,35
57.41,4.76,1.53,2.52,148.93,2.55,91.5
146.12,3,1,1.13,36.06,0.17,3.4
117.72,7.87,1.07,2.15,21.18,0.1,2.25
52.88,6.55,1.85,1.95,164.16,1.33,2
56.75,4.41,1.55,2.55,122.91,2.49,36
78.73,4.57,4.14,1.6,65.92,0.01,17.97
177.22,7,2.33,2.13,81.38,0.26,1.15
53.36,6,3.33,2.44,63.89,0.42,12.2
15.49,2.69,0.71,1.8,41.19,0.73,35.3
57.86,4.96,1.28,2.39,157.06,3.44,10
36.75,4.33,1.44,2.61,76.81,2.49,7
65.79,5.4,1.94,2.6,192.98,2.49,27
50.2,3.96,1.39,2.53,121.33,2.55,93.5
45.83,4.01,1.34,2.52,191.2,2.49,115
66.19,5.87,2.56,1.99,53.41,1.76,28
57.39,4.88,1.47,2.5,151.26,2.55,64
53.2,3.99,1.39,2.5,124.91,2.55,50
50.83,4.03,1.11,2.5,121.33,3.09,90
81.62,5.88,3.5,2.4,175.14,0.42,3.64
60.63,4.64,1.62,2.57,192.98,2.49,84.3
144.73,6.67,3.33,1.9,130.97,0.9,4.01
74.03,3.8,1.8,2.11,134.36,2.55,18
73.64,5.35,1.85,1.88,164.16,0.96,6.29
231.45,6.2,3.8,1.42,131.61,0.82,0.69
139.44,3.09,1.05,1.09,36.06,1.27,1.25
75.99,2.29,0.72,1.66,191.2,2.55,120.2
80.33,6.17,2.67,2.03,148.53,1.73,31.35
105.31,5.25,2.25,1.56,100.99,0.95,10.2
43.96,5.5,1.33,1.97,95.61,1.33,12.1
52.99,4.29,1.4,2.56,192.37,2.55,61
91.94,3.64,1.29,1.73,146.5,2.55,87.5
59.2,4.44,1.61,2.55,192.98,2.49,68
119.92,4,1.29,1.75,89.31,1.16,1.84
19.72,5,3.14,2.94,78.9,1.44,16.1
50.42,4.35,2.19,1.57,55.04,0.74,2.4
58.4,4.4,1.63,2.5,192.98,2.51,86
92.76,2.9,1.24,1.73,202.04,2.49,91.2
70.6,5.38,2.43,2.05,139.11,2.32,44.9
53.55,4.55,2.55,1.68,41.64,0.27,11.9
48.09,4.08,1.41,2.54,121.33,2.55,40.9
54.52,3.89,1.22,2.39,188.38,2.55,92
66.25,4.36,1.45,2.54,188.38,2.55,22
59.61,4.27,2.79,1.56,48.08,0.62,7.3
57.59,4.44,1.57,2.56,122.91,2.34,29.1
44.57,4.14,1.18,2.48,188.38,2.55,121.3
73.34,6.26,3.24,2.15,128.24,2.3,7.1
48.14,4.09,2.09,1.55,3.07,0.09,6.3
63.93,6,3,1.79,51.96,0.65,0.38
43.17,5.27,2.33,2.08,53.41,1.76,0.65
38.87,3.83,1.5,1.93,90.26,0.98,1.38
52.06,3.99,1.39,2.51,124.91,2.55,89
51.23,4.01,1.39,2.52,121.33,2.55,91.47
79.93,5.49,2.74,1.78,81.48,1.29,4.3
101.29,4.84,1.94,1.79,164.13,2.2,1.5
52.56,4.04,1.43,2.52,124.91,2.55,57
55.11,4.32,1.76,2.45,135.97,3.44,63
98.29,3.38,1.96,1.35,135.97,3.44,28.5
83.9,2.67,1.04,1.7,192.98,2.49,106
76.1,2.27,0.71,1.66,191.2,2.55,110
81.02,2.69,1.03,1.73,121.33,2.55,22
41.43,3.79,1.28,2.47,71.62,2.49,110
95.45,6.01,4.46,1.77,13.51,0.68,2.49
79.95,5.55,2.73,1.78,81.48,1.29,17
51.99,4.29,1.31,2.48,188.38,3.44,64.75
60.89,4.1,1.47,2.56,191.2,2.49,76
57.87,4.41,1.55,2.55,122.91,2.55,25.3
80.69,5.32,2,1.47,43.36,0.58,3.32
57.48,4.84,1.46,2.52,151.26,2.55,88
81.06,5.57,1.87,2.5,192.98,2.86,2.68
83.68,5.66,3.01,2.23,13.94,0.95,6.75
131.89,4.62,2.62,2.12,75.21,0.49,6.7
44.73,5.29,1.93,2.28,31.49,0.7,2.2
61.3,6.03,3.15,2.26,135.97,3.44,5.2
60.93,6,3,2.15,124.91,2.31,3.96
70.01,5.47,2.47,2.13,122.91,2.49,25.5
70.94,6.25,2.25,2.02,92.1,1.06,9
60.36,5.62,2.78,1.8,34.84,1.18,15
51.12,4.12,1.44,2.52,121.33,2.55,64
50.32,4.07,1.42,2.55,122.91,2.55,89.1
74.23,4.85,1.65,2.69,191.2,2.55,3.5
101.57,3.81,1.67,1.94,192.98,2.62,29
74.47,4.5,3,2.05,168.94,1.05,11.1
65.43,4.66,1.75,2.6,192.98,2.49,74.8
73.98,4.67,1.33,2.16,114.89,1.74,10.35
188.7,5.5,2,1.45,173.34,0.61,3.7
118.91,4.5,1.5,1.29,79.97,0.78,4.4
57.11,4.48,1.62,2.55,128.24,2.49,12.5
57.87,4.4,1.55,2.55,122.91,2.55,28.3
55.64,3.86,1.23,2.42,188.38,2.55,122
57.76,4.69,1.61,2.5,146.5,2.55,82
104.52,5.67,2.33,1.85,32.85,1.06,2.1
66.15,5.04,1.48,1.92,164.16,1.28,2.4
47.4,4,1.57,1.59,58.92,2.44,36.35
51.36,4.01,1.37,2.52,121.33,2.55,14.2
51.59,3.92,1.35,2.49,121.33,2.55,72.1
59.88,4.41,1.61,2.55,192.98,2.49,91.7
44.75,5.1,1.95,2.43,84.28,2.18,14.2
15.37,2.72,0.72,1.82,13.49,1.24,32
109.17,4.2,2.2,1.36,89.72,0.17,5.56
138.96,5.67,3.2,2.03,68.47,1.1,1.53
53.41,7.51,1.54,1.95,158.12,1.3,3.2
56.79,4.41,1.55,2.55,122.91,2.49,30.4
25.85,5.5,2.23,2.83,34.94,2.51,9
47.08,3.78,1.27,2.44,122.91,2.49,42
104.72,3,1.25,1.81,192.98,2.49,74.7
55.91,4.19,1.6,2.5,128.24,2.55,30.2
50.32,4.54,1.38,2.54,191.2,2.49,72
76.09,4.29,1.37,2.51,188.38,2.55,92.5
48.8,4.76,1.74,2.21,71.62,2.49,24
93.55,8.12,0.94,2.36,27.45,0.35,2.2
68.62,5.53,2.47,2.16,122.91,2.88,27.9
55.61,4.29,1.68,2.52,128.24,2.55,56.5
57.04,4.54,1.68,2.55,128.24,2.49,19.2
77.71,2.11,0.86,1.75,122.91,2.55,80.4
51.99,4.1,1.52,2.5,128.24,2.55,70
62.01,5.77,2.9,2.57,216.04,2.32,18.5
72.37,5.4,2.46,1.82,155.01,1.28,22.6
52.69,4.58,3.58,2.12,83.94,0.95,12.7
60.46,4.43,1.62,2.56,192.98,2.49,58.2
88.07,3.58,0.75,1.61,157.06,3.44,83
58.18,4.7,1.82,2.56,124.91,2.34,24
52.15,4.09,1.48,2.52,124.91,2.55,23.9
76.02,4.5,4,1.61,82.1,0.44,19.8
90.39,2,0,1.6,88.11,0.38,0.16
53.06,4.02,1.41,2.53,122.91,2.55,59
50.42,4.1,1.47,2.53,128.24,2.55,78
59.13,4.35,1.55,2.57,192.98,2.49,93
87.23,4.51,4.02,1.65,23.18,0.21,20.2
74.28,5.55,2.85,1.78,114.34,1.29,15.9
37.44,4.8,1.6,2.56,121.33,2.55,0.5
56.82,4.41,1.55,2.55,122.91,2.49,1.2
81.48,2.31,0.88,1.74,124.91,2.55,88.1
15.7,2.7,0.7,1.8,37.06,0.73,38.5
50.98,4,1.38,2.52,130.39,2.55,78
70.06,5.51,1.92,2.21,58.55,1.01,2.18
76.6,3.45,1.82,1.88,127.24,0.73,9.4
55.4,5.64,0.48,2.2,105.41,0,5.52
66.4,5.06,2.54,1.8,98.83,1.18,37.8
58.58,4.68,1.82,2.55,124.91,2.34,24
104.46,4.75,1.06,1.71,184.59,2.49,60
57.42,3.87,1.3,2.41,128.24,2.55,93.7
116.23,3.03,1.03,1.78,94.16,0.24,3.73
98.59,4.65,2.25,1.93,117.6,0.98,3.9
110.45,6.83,2.28,2.45,113.25,0.35,3.5
53.04,3.98,1.4,2.49,124.91,2.55,51.7
56.71,4.41,1.55,2.55,122.91,2.49,36
49,4.57,1.46,2.63,121.33,2.55,90.7
61.2,5.81,2.94,2.57,141.25,2.32,5.9
75.41,5.51,2.58,1.82,155.01,1.28,25
48.74,4.25,1.31,2.48,188.38,3.44,79.5
52.52,3.93,1.36,2.49,121.33,2.55,59.4
192.09,8.96,3.04,2.19,6.01,0.3,0.11
67.28,6.49,0.54,2.04,95.61,1.33,24
56.44,4.4,1.54,2.55,122.91,2.49,29
83.24,2.22,0.57,1.71,184.59,3.09,128.8
46.46,5.62,2.12,2.96,174.23,2.62,6.3
57.37,4.45,1.84,2.4,135.97,3.44,14
78.98,4.48,3.96,1.62,65.92,0.21,19.1
92.48,3.5,1.75,1.8,192.98,2.44,28.5
56.97,4.77,1.42,2.52,152.94,2.55,81.8
87.23,6,0.88,1.86,47.73,1.25,3.2
40.69,5.47,1.53,1.95,90.26,1.33,7
78.99,5.64,2.84,1.96,128.1,1.1,2
52.45,4.05,1.43,2.52,124.91,2.55,67.4
54.23,4.06,1.41,2.54,122.91,2.55,27
53.64,4.73,3.72,2.22,85.14,1.22,6.9
50.13,4.84,3.68,2.31,83.94,1.01,12.8
114.18,6.78,3.23,1.84,39.84,1.08,1.25
164.89,3.31,1.31,1.86,167.12,1.33,3.68
101.67,4.58,2.16,1.84,117.6,0.98,9.1
53.33,7.5,1.5,1.95,158.12,1.3,11.1
95.55,5.85,2.37,1.68,11.68,0.95,2.86
69.44,5.91,1.73,1.69,110.82,0.81,0.96
107.02,4.7,2.7,2.04,49.13,0.04,3.3
97.94,2.99,1.25,1.82,192.98,2.49,85.5
72.63,5.53,2.47,2.16,122.91,2.88,23.7
64.37,3.03,1.02,1.44,131.94,1.61,0.94
54.96,4.39,1.77,2.52,141.25,2.55,72.4
76.3,2.66,1.06,1.68,124.12,2.49,45
60.64,3.88,1.18,2.45,184.59,2.55,126
58.18,4.7,1.83,2.56,124.91,2.34,25.2
73.97,4.42,1.93,1.89,164.16,1,6.4
40.56,3.65,1.65,2.04,76.89,1.33,14.5
56.82,4.98,1.3,2.41,157.06,3.44,81
